3.000000,4.000000,5.000000,3.000000,5.000000,3.000000,3.833333
7.000000,7.000000,9.000000,4.000000,6.000000,6.000000,6.500000
5.000000,2.000000,2.000000,2.000000,3.000000,4.000000,3.000000
2.000000,1.000000,3.000000,5.000000,1.000000,1.000000,2.166667
8.000000,8.000000,7.000000,6.000000,7.000000,7.000000,7.166667
4.000000,3.000000,4.000000,7.000000,2.000000,2.000000,3.666667
1.000000,9.000000,10.000000,8.000000,8.000000,10.000000,7.666667
9.000000,6.000000,1.000000,1.000000,9.000000,9.000000,5.833333
10.000000,10.000000,8.000000,9.000000,10.000000,8.000000,9.166667
6.000000,5.000000,6.000000,10.000000,4.000000,5.000000,6.000000
