4.000000,3.000000,2.000000,3.000000,4.000000,3.000000,3.166667
6.000000,6.000000,9.000000,5.000000,5.000000,8.000000,6.500000
5.000000,4.000000,3.000000,4.000000,2.000000,4.000000,3.666667
2.000000,1.000000,1.000000,1.000000,3.000000,1.000000,1.500000
7.000000,7.000000,7.000000,6.000000,6.000000,6.000000,6.500000
3.000000,2.000000,4.000000,2.000000,1.000000,2.000000,2.333333
1.000000,8.000000,10.000000,7.000000,7.000000,10.000000,7.166667
8.000000,5.000000,6.000000,8.000000,8.000000,9.000000,7.333333
9.000000,9.000000,8.000000,9.000000,9.000000,7.000000,8.500000
10.000000,10.000000,5.000000,10.000000,10.000000,5.000000,8.333333
