4.000000,3.000000,2.000000,2.000000,5.000000,3.000000,3.166667
7.000000,7.000000,7.000000,4.000000,6.000000,9.000000,6.666667
5.000000,4.000000,8.000000,5.000000,1.000000,5.000000,4.666667
2.000000,1.000000,1.000000,3.000000,2.000000,1.000000,1.666667
8.000000,8.000000,5.000000,6.000000,7.000000,6.000000,6.666667
3.000000,2.000000,4.000000,1.000000,3.000000,2.000000,2.500000
1.000000,9.000000,9.000000,7.000000,8.000000,10.000000,7.333333
6.000000,5.000000,10.000000,8.000000,4.000000,8.000000,6.833333
9.000000,10.000000,6.000000,9.000000,9.000000,7.000000,8.333333
10.000000,6.000000,3.000000,10.000000,10.000000,4.000000,7.166667
