protectedDiv(protectedDiv(add(b, c), sub(a, b)), protectedDiv(add(c, c), add(c, c)))	protectedDiv(sub(add(a, c), protectedDiv(c, b)), add(add(c, a), add(c, a)))	sub(c, c)	sub(protectedDiv(b, b), protectedDiv(b, b))	protectedDiv(a, b)	protectedDiv(sub(protectedDiv(b, a), protectedDiv(a, c)), add(sub(b, c), add(c, c)))	protectedDiv(sub(c, b), add(a, c))	protectedDiv(b, b)	add(protectedDiv(b, c), protectedDiv(b, a))	sub(protectedDiv(a, b), protectedDiv(a, c))	add(sub(a, b), sub(a, a))	add(add(a, c), sub(b, c))	sub(sub(add(c, c), add(b, b)), sub(protectedDiv(c, b), protectedDiv(b, b)))	add(sub(c, c), protectedDiv(c, b))	sub(b, a)	protectedDiv(b, b)	add(sub(add(c, a), sub(a, a)), protectedDiv(sub(b, b), protectedDiv(c, a)))	protectedDiv(protectedDiv(add(a, a), sub(c, b)), add(add(c, b), protectedDiv(a, b)))	sub(c, c)	add(c, a)
a	sub(b, c)	b	sub(c, c)	sub(c, c)	a	sub(c, c)	sub(c, c)	sub(c, c)	sub(c, c)	sub(c, add(b, a))	sub(c, c)	sub(c, c)	sub(c, c)	b	sub(protectedDiv(b, c), protectedDiv(a, c))	sub(c, c)	sub(c, c)	sub(a, c)	sub(sub(c, b), sub(b, b))
sub(c, c)	sub(c, c)	sub(c, c)	b	add(a, a)	sub(c, c)	a	sub(c, c)	sub(c, c)	sub(c, c)	sub(c, c)	sub(c, c)	sub(b, c)	sub(c, sub(protectedDiv(a, a), add(a, a)))	sub(c, c)	a	sub(c, c)	sub(c, c)	sub(add(b, a), c)	sub(c, sub(c, c))
sub(c, protectedDiv(sub(a, b), add(a, a)))	sub(c, c)	sub(c, c)	sub(c, sub(c, b))	sub(c, c)	sub(c, c)	add(protectedDiv(c, c), protectedDiv(a, b))	sub(c, c)	sub(a, a)	sub(c, c)	add(a, c)	sub(c, c)	sub(a, c)	sub(c, c)	protectedDiv(a, b)	sub(c, c)	sub(c, c)	sub(c, c)	sub(a, c)	sub(c, c)
sub(c, c)	sub(c, c)	sub(c, c)	sub(c, c)	sub(c, c)	sub(c, c)	sub(c, c)	sub(c, protectedDiv(sub(a, b), add(a, a)))	sub(c, c)	sub(add(add(b, c), sub(a, a)), c)	sub(c, c)	sub(c, c)	sub(c, protectedDiv(a, a))	sub(c, c)	sub(c, c)	sub(c, c)	sub(c, c)	sub(c, c)	sub(c, c)	sub(c, c)
sub(c, c)	sub(c, c)	sub(b, c)	sub(c, c)	sub(c, add(add(a, c), add(a, b)))	sub(c, c)	sub(c, c)	add(b, a)	sub(c, c)	protectedDiv(protectedDiv(a, a), protectedDiv(a, b))	sub(c, c)	sub(c, c)	sub(c, c)	sub(c, c)	sub(c, c)	sub(c, c)	sub(c, c)	sub(c, c)	sub(c, c)	sub(sub(b, b), c)
sub(c, c)	sub(c, c)	sub(c, c)	sub(c, c)	sub(c, c)	sub(c, c)	c	sub(c, c)	sub(c, c)	sub(c, c)	sub(c, sub(add(a, b), add(c, a)))	sub(c, c)	sub(c, c)	sub(c, c)	sub(c, c)	sub(c, c)	sub(c, c)	sub(c, c)	sub(c, c)	sub(c, c)
sub(c, c)	sub(c, c)	sub(c, c)	sub(c, c)	sub(c, c)	sub(c, c)	sub(c, c)	sub(c, c)	c	sub(c, c)	sub(c, c)	sub(c, c)	c	sub(c, c)	sub(c, c)	sub(c, c)	sub(c, c)	sub(c, c)	sub(c, c)	sub(c, c)
sub(c, c)	sub(add(sub(c, c), sub(c, c)), c)	sub(c, sub(protectedDiv(a, c), sub(b, b)))	sub(c, c)	sub(a, c)	sub(c, c)	sub(c, c)	sub(c, c)	protectedDiv(sub(a, c), sub(b, a))	sub(c, c)	sub(c, c)	sub(c, c)	sub(c, c)	sub(c, c)	sub(c, c)	sub(c, c)	sub(c, c)	b	sub(c, c)	sub(c, c)
sub(c, c)	sub(a, c)	sub(c, c)	sub(c, c)	sub(c, c)	sub(c, c)	sub(c, c)	sub(c, c)	sub(c, c)	sub(c, c)	sub(c, c)	sub(c, c)	a	add(sub(c, b), protectedDiv(a, c))	sub(c, sub(protectedDiv(a, b), protectedDiv(b, c)))	sub(c, c)	b	sub(c, c)	sub(c, c)	sub(c, c)
sub(c, c)	sub(c, c)	sub(c, c)	sub(c, c)	sub(c, c)	sub(c, c)	sub(c, c)	sub(c, protectedDiv(a, b))	sub(c, c)	sub(c, c)	sub(c, c)	sub(c, c)	sub(c, a)	sub(c, c)	sub(c, c)	sub(c, c)	sub(c, c)	sub(c, c)	sub(c, c)	sub(c, c)
