[ 9.75  4.9   4.7   2.6   2.65  4.3 ]
[ 18.  12.  12.   7.   8.  11.]
[ 1.  1.  1.  1.  1.  1.]
[ 4.97870465  3.33016516  3.55105618  1.8547237   2.17428149  3.28785644]
