1.000000,1.000000,2.000000,4.000000,4.000000,4.000000,3.000000,2.714286
7.000000,6.000000,5.000000,6.000000,5.000000,5.000000,4.000000,5.428571
2.000000,4.000000,1.000000,3.000000,3.000000,1.000000,2.000000,2.285714
3.000000,2.000000,3.000000,1.000000,1.000000,2.000000,5.000000,2.428571
8.000000,7.000000,6.000000,7.000000,6.000000,6.000000,6.000000,6.571429
4.000000,3.000000,4.000000,2.000000,2.000000,7.000000,7.000000,4.142857
6.000000,8.000000,7.000000,8.000000,7.000000,8.000000,8.000000,7.428571
9.000000,9.000000,8.000000,9.000000,8.000000,3.000000,1.000000,6.714286
10.000000,10.000000,9.000000,10.000000,9.000000,9.000000,9.000000,9.428571
5.000000,5.000000,10.000000,5.000000,10.000000,10.000000,10.000000,7.857143
