[ 3.   2.2  1.6  1.2  1.6  1.2  1.2  1.   1.   1.   1. ]
[ 5.  4.  3.  2.  3.  2.  2.  1.  1.  1.  1.]
[ 1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.]
[ 1.41421356  1.16619038  0.8         0.4         0.8         0.4         0.4
  0.          0.          0.          0.        ]
